"";"package";"*";"version";"date";"source"
"1";"assertthat";"";"0.2.0";"2017-04-11";"CRAN (R 3.3.3)"
"2";"base";"*";"3.5.0";"2018-04-23";"local"
"3";"bindr";"";"0.1.1";"2018-03-13";"CRAN (R 3.5.0)"
"4";"bindrcpp";"*";"0.2.2";"2018-03-29";"CRAN (R 3.5.0)"
"5";"bit";"";"1.1-14";"2018-05-29";"CRAN (R 3.5.0)"
"6";"bit64";"";"0.9-7";"2017-05-08";"CRAN (R 3.5.0)"
"7";"blob";"";"1.1.1";"2018-03-25";"CRAN (R 3.5.0)"
"8";"colorspace";"";"1.3-2";"2016-12-14";"CRAN (R 3.5.0)"
"9";"compiler";"";"3.5.0";"2018-04-23";"local"
"10";"crayon";"";"1.3.4";"2017-09-16";"CRAN (R 3.5.0)"
"11";"crosstalk";"";"1.0.0";"2016-12-21";"CRAN (R 3.3.3)"
"12";"data.table";"*";"1.11.4";"2018-05-27";"CRAN (R 3.5.0)"
"13";"datasets";"*";"3.5.0";"2018-04-23";"local"
"14";"DBI";"";"1.0.0";"2018-05-02";"CRAN (R 3.5.0)"
"15";"devtools";"";"1.13.5";"2018-02-18";"CRAN (R 3.5.0)"
"16";"digest";"";"0.6.15";"2018-01-28";"CRAN (R 3.5.0)"
"17";"dplyr";"*";"0.7.5";"2018-05-19";"CRAN (R 3.5.0)"
"18";"ggplot2";"*";"2.2.1.9000";"2018-06-12";"Github (hadley/ggplot2@4db5122)"
"19";"glue";"";"1.2.0";"2017-10-29";"CRAN (R 3.5.0)"
"20";"graphics";"*";"3.5.0";"2018-04-23";"local"
"21";"grDevices";"*";"3.5.0";"2018-04-23";"local"
"22";"grid";"";"3.5.0";"2018-04-23";"local"
"23";"gtable";"";"0.2.0";"2016-02-26";"CRAN (R 3.4.2)"
"24";"htmltools";"";"0.3.6";"2017-04-28";"CRAN (R 3.5.0)"
"25";"htmlwidgets";"";"1.2";"2018-04-19";"CRAN (R 3.5.0)"
"26";"httpuv";"";"1.4.3";"2018-05-10";"CRAN (R 3.5.0)"
"27";"httr";"";"1.3.1";"2017-08-20";"CRAN (R 3.4.3)"
"28";"jsonlite";"";"1.5";"2017-06-01";"CRAN (R 3.5.0)"
"29";"later";"";"0.7.2";"2018-05-01";"CRAN (R 3.5.0)"
"30";"lazyeval";"";"0.2.1";"2017-10-29";"CRAN (R 3.5.0)"
"31";"lubridate";"*";"1.7.4";"2018-04-11";"CRAN (R 3.5.0)"
"32";"magrittr";"";"1.5";"2014-11-22";"CRAN (R 3.3.2)"
"33";"memoise";"";"1.1.0";"2017-04-21";"CRAN (R 3.3.3)"
"34";"methods";"*";"3.5.0";"2018-04-23";"local"
"35";"mime";"";"0.5";"2016-07-07";"CRAN (R 3.5.0)"
"36";"munsell";"";"0.4.3";"2016-02-13";"CRAN (R 3.3.1)"
"37";"pillar";"";"1.2.3";"2018-05-25";"CRAN (R 3.5.0)"
"38";"pkgconfig";"";"2.0.1";"2017-03-21";"CRAN (R 3.3.3)"
"39";"plotly";"*";"4.7.1";"2017-07-29";"CRAN (R 3.5.0)"
"40";"plyr";"";"1.8.4";"2016-06-08";"CRAN (R 3.5.0)"
"41";"promises";"";"1.0.1";"2018-04-13";"CRAN (R 3.5.0)"
"42";"purrr";"";"0.2.5";"2018-05-29";"CRAN (R 3.5.0)"
"43";"R6";"";"2.2.2";"2017-06-17";"CRAN (R 3.3.2)"
"44";"Rcpp";"";"0.12.17";"2018-05-18";"CRAN (R 3.5.0)"
"45";"rlang";"*";"0.2.1";"2018-05-30";"CRAN (R 3.5.0)"
"46";"RSQLite";"*";"2.1.1";"2018-05-06";"CRAN (R 3.5.0)"
"47";"rstudioapi";"";"0.7";"2017-09-07";"CRAN (R 3.5.0)"
"48";"scales";"*";"0.5.0";"2017-08-24";"CRAN (R 3.5.0)"
"49";"shiny";"*";"1.1.0";"2018-05-17";"CRAN (R 3.5.0)"
"50";"shinydashboard";"*";"0.7.0";"2018-03-21";"CRAN (R 3.5.0)"
"51";"stats";"*";"3.5.0";"2018-04-23";"local"
"52";"stringi";"";"1.2.3";"2018-06-05";"Github (gagolews/stringi@3559f7b)"
"53";"stringr";"";"1.3.1";"2018-05-10";"CRAN (R 3.5.0)"
"54";"tibble";"";"1.4.2";"2018-01-22";"CRAN (R 3.5.0)"
"55";"tidyr";"";"0.8.1";"2018-05-18";"CRAN (R 3.5.0)"
"56";"tidyselect";"";"0.2.4";"2018-02-26";"CRAN (R 3.5.0)"
"57";"tools";"";"3.5.0";"2018-04-23";"local"
"58";"utils";"*";"3.5.0";"2018-04-23";"local"
"59";"viridisLite";"";"0.3.0";"2018-02-01";"CRAN (R 3.5.0)"
"60";"withr";"";"2.1.2";"2018-03-15";"CRAN (R 3.4.4)"
"61";"xtable";"";"1.8-2";"2016-02-05";"CRAN (R 3.3.1)"
"62";"yaml";"";"2.1.19";"2018-05-01";"CRAN (R 3.5.0)"
